,semiotic-class,accuracy,count,correct
0,ALL,0.9922206961672175,93196,92471
1,CARDINAL,0.9539363484087102,2388,2278
2,DATE,0.9652173913043478,1495,1443
3,DECIMAL,0.85,60,51
4,DIGIT,0.9375,16,15
5,ELECTRONIC,0.6041666666666666,48,29
6,FRACTION,0.6956521739130435,23,16
7,LETTERS,0.9793478260869565,1840,1802
8,MEASURE,0.9075425790754258,411,373
9,MONEY,0.8947368421052632,19,17
10,ORDINAL,0.9789227166276346,427,418
11,PLAIN,0.9946266444320919,64764,64416
12,PUNCT,0.9999506514015002,20264,20263
13,TELEPHONE,0.8426966292134831,89,75
14,TIME,1.0,8,8
15,VERBATIM,0.9427083333333334,1344,1267
